block_index,miner_id,num_tx,time_since_last_block,avg_energy,std_dev_energy,total_energy,avg_amount,std_dev_amount,total_amount,num_deliveries,num_payments,num_theft_attempts,num_alerts,unique_senders,unique_recipients,tx_rate,max_tx_per_sender,sender_concentration,avg_energy_per_sender_mean,avg_energy_per_sender_std,avg_amount_per_sender_mean,avg_amount_per_sender_std,is_anomaly,anomaly_type
1,0,46,9.562581931072636,0.48912521059081254,1.0406283942856211,22.915276757101505,0.13735348479379295,0.26107486871702673,6.434943547073056,23,24,0,1,35,30,4.810416300907988,1,0.021739130434782608,0.5094058881182798,0.9589144494669172,0.13691753506379428,0.2598285651318646,0,Normal
2,0,10,4.720320180793389,0.48379919833394147,0.8290474599580375,4.779215476363269,0.21709778458516332,0.4648286051149925,2.144602751609811,6,5,0,0,5,7,2.118500359507224,3,0.3,0.4953651068339611,0.8757172151476305,0.23787025515014817,0.4730366905119262,0,Normal
3,0,30,5.640630346700237,0.32405873456066525,0.7083146781324711,9.699585806275037,0.15718116001397497,0.24624661293021266,4.70467846130525,16,14,0,1,20,26,5.318554515374327,2,0.06666666666666667,0.3036851446099519,0.7071944568550655,0.16756925388311547,0.2414065096817691,0,Normal
4,0,46,2.5364734883712154,0.2818095770661859,0.6820195644705891,12.87264860611872,0.28281137499613684,0.6393829040497785,12.918409267842316,24,24,0,0,30,39,18.135415257006564,1,0.021739130434782608,0.2805865932446913,0.6466575683606514,0.3109717674178197,0.5789166590218798,0,Normal
5,0,46,4.6412010310305805,0.4729793163372232,0.9138399889933331,21.637031285094476,0.186116042388702,0.3607263711853056,8.51411149013366,23,22,0,1,21,27,9.911227652594416,3,0.06521739130434782,0.43059389909694157,0.9499714344618974,0.1678985946817628,0.33053373753892423,0,Normal
6,0,32,115.30247465360492,0.1653289149933689,0.7371490619648249,5.338069916926583,0.3273085296799162,1.4497832704902487,10.567999045465879,16,16,0,1,23,27,0.27753090379140033,2,0.0625,0.15538301661567108,0.7032383673259129,0.35651487876554927,1.441739264834754,1,Breakdown
7,0,12,8.635658755958303,0.23209906073406567,0.28132953959356477,2.7817488921752687,0.17882392655650026,0.15643715781061276,2.143236849040662,7,5,0,1,4,6,1.3895870991567862,4,0.3333333333333333,0.21692188000011686,0.29403196964187617,0.18968910457219784,0.15980536428718278,0,Normal
8,0,13,8.801754443645672,0.24107279698848758,0.4367800453301237,3.1238762065999803,0.2324406847047338,0.4979253341432682,3.012019329703142,5,5,0,0,5,9,1.4769782641897269,4,0.3076923076923077,0.2215003061844861,0.4196874381645483,0.21459311146442267,0.513470152576813,0,Normal
9,0,25,7.327462371838144,0.4502865727464754,0.7447624261250252,11.371653282214897,0.14666699397750876,0.3548879552215689,3.703966106037936,13,11,0,0,13,12,3.411822365145572,2,0.08,0.46585224219801796,0.7270637470130791,0.14444347016283157,0.36597071483974425,0,Normal
10,0,36,9.626654146322814,0.4133798691786339,0.9277190645918946,14.952951277565095,0.2985293642111255,0.6626878161215465,10.798530288475323,19,18,0,0,25,25,3.7396170520732035,2,0.05555555555555555,0.4443367436657405,1.0131445690915646,0.294394648164051,0.6137481486939927,0,Normal
11,0,44,8.71223562752567,0.43779707066648943,0.8102727912687822,19.352071239206058,0.22539691834149014,0.35809594918364096,9.963285533641427,23,22,0,0,26,33,5.050368456631869,1,0.022727272727272728,0.4549022223026381,0.8133944825387723,0.21193913902196507,0.37674505853834667,0,Normal
12,0,18,5.48979894336103,0.24551922070741414,0.47173168701367546,4.42166010087177,0.2658142166539488,0.508431805612512,4.787161317296235,10,9,0,0,12,10,3.278808602229033,1,0.05555555555555555,0.23512007640754407,0.4547851438218621,0.2662856106610997,0.5479760568757036,0,Normal
13,0,48,7.230458925847447,0.5528862694684136,1.1414085992663119,26.27481758214617,0.11775882231161015,0.20651063132690356,5.596253236494394,24,25,0,0,24,28,6.6385827638698816,2,0.041666666666666664,0.5260492736912187,1.2350054458144346,0.11855172153179068,0.19619913601553088,0,Normal
14,0,11,4.540377632096508,0.4980210749234027,1.0925199544332367,5.415342101987052,0.25569782544440195,0.47109730442976877,2.7803867531681785,5,6,0,0,8,8,2.4227059710275194,2,0.18181818181818182,0.45770066655408154,0.9908606022467937,0.25718676907675025,0.47432152622886836,0,Normal
15,0,47,6.155699792904958,0.23823413674143762,0.42919835186877064,11.051216216140295,0.2181234491568674,0.35948586472819766,10.11832070505934,22,23,0,0,34,42,7.635200152900905,1,0.02127659574468085,0.22773001496743364,0.4340144915783794,0.211172762533189,0.3723283140489158,0,Normal
16,0,99,150.15905223363015,0.8705996071258757,5.075044384868881,86.30009386068284,0.5211801994927518,2.160599410980221,51.66312937245646,50,49,0,1,45,65,0.6593009114493306,3,0.030303030303030304,0.8166092612675868,5.060303000199979,0.5108719746532427,2.2184241642823723,1,Breakdown
17,0,9,14.29417130849258,0.18349237463199888,0.16058914874924396,1.6710336271366362,0.09646684422231211,0.07713417657149241,0.8785070274583705,3,4,0,0,4,5,0.6296272659509012,2,0.2222222222222222,0.1829109700526319,0.16246881629346843,0.10522188121953484,0.07680756968798079,0,Normal
