Date/Time,LV ActivePower (kW)
2021-01-01 00:00:00,99.34283060224654
2021-01-01 00:10:00,22.65238102379046
2021-01-01 00:20:00,139.53854100430559
2021-01-01 00:30:00,319.6069087691676
2021-01-01 00:40:00,26.830008451380788
2021-01-01 00:50:00,21.82749600646435
2021-01-01 01:00:00,345.8410622538352
2021-01-01 01:10:00,188.48329864099304
2021-01-01 01:20:00,53.9015458005296
2021-01-01 01:30:00,153.50131864850584
2021-01-01 01:40:00,42.69937504171196
2021-01-01 01:50:00,38.168183455245234
2021-01-01 02:00:00,108.36245059379165
2021-01-01 02:10:00,317.69532317587334
2021-01-01 02:20:00,275.03373561143053
2021-01-01 02:30:00,37.520318913457835
2021-01-01 02:40:00,122.64355488909841
2021-01-01 02:50:00,147.75561947765237
2021-01-01 03:00:00,91.71730143882786
2021-01-01 03:10:00,187.59411352749032
2021-01-01 03:20:00,392.97312146290267
2021-01-01 03:30:00,59.66235194202699
2021-01-01 03:40:00,123.29487637865502
2021-01-01 03:50:00,170.19152367407906
2021-01-01 04:00:00,10.847577270381285
2021-01-01 04:10:00,146.87165502866992
2021-01-01 04:20:00,100.5516812819447
2021-01-01 04:30:00,209.74329317003713
2021-01-01 04:40:00,19.429241057185102
2021-01-01 04:50:00,86.16802900723995
2021-01-01 05:00:00,29.11164306037811
2021-01-01 05:10:00,524.8510518846798
2021-01-01 05:20:00,156.63455886251734
2021-01-01 05:30:00,47.27357729244691
2021-01-01 05:40:00,333.70808807988044
2021-01-01 05:50:00,70.04335798940039
2021-01-01 06:00:00,220.82000335533166
2021-01-01 06:10:00,207.9693051401485
2021-01-01 06:20:00,76.75965489082066
2021-01-01 06:30:00,233.15791444218866
2021-01-01 06:40:00,346.3822500462862
2021-01-01 06:50:00,237.86088885744596
2021-01-01 07:00:00,185.35078402575488
2021-01-01 07:10:00,153.14769622678793
2021-01-01 07:20:00,77.45330315436563
2021-01-01 07:30:00,79.15945545723191
2021-01-01 07:40:00,135.87216584965861
2021-01-01 07:50:00,444.2902870645498
2021-01-01 08:00:00,306.4495987151933
2021-01-01 08:10:00,110.0279356152529
2021-01-01 08:20:00,312.24497828921625
2021-01-01 08:30:00,175.25363035091263
2021-01-01 08:40:00,121.72128039634664
2021-01-01 08:50:00,384.270103334738
2021-01-01 09:00:00,472.9573655074186
2021-01-01 09:10:00,457.82943001651876
2021-01-01 09:20:00,108.5390560547265
2021-01-01 09:30:00,219.34232910324948
2021-01-01 09:40:00,352.2327031168525
2021-01-01 09:50:00,485.87710390762413
2021-01-01 10:00:00,199.71402192023643
2021-01-01 10:10:00,263.19047497836925
2021-01-01 10:20:00,83.82116678881896
2021-01-01 10:30:00,70.60509933896923
2021-01-01 10:40:00,477.10210350509766
2021-01-01 10:50:00,590.5875931312727
2021-01-01 11:00:00,309.6722264219076
2021-01-01 11:10:00,529.5073901772482
2021-01-01 11:20:00,405.84635382185536
2021-01-01 11:30:00,209.20519647560033
2021-01-01 11:40:00,415.2098096801435
2021-01-01 11:50:00,655.230968089233
2021-01-01 12:00:00,345.1427208799909
2021-01-01 12:10:00,669.91212432906
2021-01-01 12:20:00,162.29908953882642
2021-01-01 12:30:00,530.6879272290715
2021-01-01 12:40:00,388.36517557818075
2021-01-01 12:50:00,315.7933516841157
